date,signal,close,env_level,l2_flow,fwd_20,fwd_60
2022-08-08,f_alert,4148.07,2,-0.1621,-3.2%,-9.6%
2022-08-09,f_alert,4156.29,2,-0.051,-2.5%,-10.6%
2022-09-06,f_alert,4052.28,2,-0.1147,-6.6%,-2.3%
2022-09-07,f_alert,4054.98,2,-0.0411,-7.5%,-2.4%
2023-03-21,f_alert,3982.38,2,0.3347,3.6%,-1.3%
2023-03-22,f_alert,3999.44,2,-0.3065,2.8%,-1.9%
2024-07-11,f_alert,3468.17,2,-0.0143,-3.6%,14.2%
2024-07-31,f_alert,3442.08,2,0.5437,-4.5%,13.0%
2025-01-14,f_alert,3820.54,2,0.1873,3.1%,-1.3%
2025-01-15,f_alert,3796.03,2,-0.146,3.5%,-0.6%
2025-11-28,f_alert,4526.66,2,0.0656,2.9%,1.7%
2026-03-10,f_alert,4674.76,2,0.1165,-1.7%,0.8%
2026-03-11,f_alert,4704.5,4,0.286,-2.9%,2.1%
2026-03-12,f_alert,4687.56,4,-0.29,-1.1%,1.3%
2026-07-14,f_alert,4796.5,2,0.3414,-2.8%,
2026-07-15,f_alert,4786.78,2,0.0547,-2.0%,
2026-07-21,f_alert,4739.23,0,0.3004,,
