,nav_long,nav_rest,nav_hs300,rel_vs_rest_pct,rel_vs_hs300_pct
2025-07-07,1.192028414759238,1.3359050547757638,1.2144444842605435,-10.769974969566686,-1.8457879130600485
2025-07-08,1.195512407961894,1.3522471340979143,1.2246368235819118,-11.590686508688986,-2.3782083846566437
2025-07-09,1.1977910833508147,1.3474168091641188,1.2224769227423742,-11.104635536358309,-2.019329684864879
2025-07-10,1.208419184491371,1.3519307265380371,1.2281809464041626,-10.6153029315462,-1.6090269085064057
2025-07-11,1.1857362865320882,1.3559610402623241,1.2296457806727148,-12.55380860332862,-3.5709059333009385
2025-07-14,1.191850142972368,1.3587925661557931,1.2305219798646931,-12.28608599587262,-3.1427180924128995
2025-07-15,1.1833760156051827,1.362091825045363,1.2309497272750387,-13.120687324749813,-3.864797287470889
2025-07-16,1.173144575671948,1.3595351774897881,1.2273165082751638,-13.709877089167122,-4.413851866080365
2025-07-17,1.1753991882809103,1.3724325255734875,1.235674550560473,-14.356504499938493,-4.877931835063132
2025-07-18,1.176702103230555,1.3802259167145627,1.2430428565171758,-14.745688442691197,-5.336964283958645
2025-07-21,1.1812334497191426,1.3946834004369653,1.2513303017968396,-15.304545149884706,-5.6017865128848765
2025-07-22,1.2073048312666588,1.4090343252727149,1.2615449687612084,-14.316861582986052,-4.299500916547705
2025-07-23,1.2135777799315306,1.406295376622542,1.2617931455667384,-13.703920235722844,-3.821178281448956
2025-07-24,1.2228746941257018,1.4224032117265224,1.2707573726397865,-14.027563770657657,-3.7680425504529214
2025-07-25,1.210921857033378,1.4172535049937611,1.2640580383955835,-14.558556195723893,-4.203618801368414
2025-07-28,1.2131097957434005,1.4197121350767827,1.266710648141768,-14.55241060697199,-4.231499314938148
2025-07-29,1.2216582367994013,1.427393194636733,1.2716724997251163,-14.4133346446065,-3.9329515214432953
2025-07-30,1.2245370135946445,1.4264998846554608,1.2714315204451077,-14.157931117505552,-3.6883234445883595
2025-07-31,1.1908633333722551,1.4017912619785078,1.2482626245363342,-15.04702835060806,-4.598334519981318
2025-08-01,1.1881617826097022,1.3964261917850127,1.2419341313092058,-14.914100752370729,-4.329726298996118
2025-08-04,1.1860031362119519,1.40210738578194,1.2467652635779791,-15.412817289274106,-4.873581991821907
2025-08-05,1.2009759400531077,1.4124543239728564,1.2567951532169421,-14.972405148289436,-4.441393095840429
2025-08-06,1.2003139496835327,1.4194701933326772,1.2598687110089375,-15.439298738256879,-4.727060907617253
2025-08-07,1.208092104321745,1.4197778796700282,1.2602303636955596,-14.909781197427963,-4.137200695666621
2025-08-08,1.2146754344240793,1.4183911550339887,1.257259745832404,-14.362450011543382,-3.38707347860967
2025-08-11,1.199430713444721,1.4285979661831736,1.2626329895978918,-16.041409701199928,-5.005593602722092
2025-08-12,1.2070211029552484,1.4348611150365203,1.269161175873528,-15.878889579879152,-4.896152994556447
2025-08-13,1.2015639415057775,1.4458391788004525,1.279192505017595,-16.895048970615058,-6.068559908483029
2025-08-14,1.1945878616996695,1.4369248277627034,1.2781926615254906,-16.86497173553284,-6.540860571522988
