ts_code,name,last_launch,bars_ago,last_quality,last_excess_mfe_20,last_mae_20,last_excess_ret_20,last_efficiency_20,n_hist,n_high,n_low,hit_rate,med_excess_mfe_20,med_mae_20,recent_launch,hist_ok,last_is_low,score,l2_flow,env_level,rating_kind,live_filter,archive_only,note,recommend_rank
300059.SZ,东方财富,2025-08-29,234,low_value,-0.021218265144893778,-0.11103424420615704,-0.11043247378815724,0.04361370716510749,2,0,2,0.0,0.01242315144344297,-0.15321827152836587,0,0,1,-0.008487306057957512,0.8370197966432513,4,subjective/semi-quantitative,0,1,事后主观评级档案；禁止进入实时筛选与生产决策。,
601838.SH,成都银行,2025-08-27,236,low_value,-0.0012212249731338165,-0.055432372505543115,-0.0748395124217528,0.7500000000000006,2,0,2,0.0,0.003110387424869243,-0.0999541465927149,0,0,1,-0.0004884899892535266,-0.0056642170368513,2,subjective/semi-quantitative,0,1,事后主观评级档案；禁止进入实时筛选与生产决策。,
601818.SH,光大银行,2025-08-25,238,low_value,-0.023407073316590976,-0.14250000000000007,-0.14944532372381547,0.0,5,0,4,0.0,0.013456807934263848,-0.03693931398416883,0,0,1,-0.007138441547379451,-0.0212029739189196,2,subjective/semi-quantitative,0,1,事后主观评级档案；禁止进入实时筛选与生产决策。,
601169.SH,北京银行,2025-08-25,238,low_value,-0.021819771729289394,-0.11746031746031749,-0.12623103800952962,0.013513513513513462,3,0,2,0.0,-0.004762910943776788,-0.023060796645702264,0,0,1,-0.008727908691715759,-0.0254638859280575,2,subjective/semi-quantitative,0,1,事后主观评级档案；禁止进入实时筛选与生产决策。,
601788.SH,光大证券,2025-08-22,239,low_value,-0.0028645474936608295,-0.11886429258902798,-0.14380125710402214,0.3522267206477723,3,0,2,0.0,0.0430792270298177,-0.006785934608266486,0,0,1,-0.0011458189974643319,0.222521342170293,4,subjective/semi-quantitative,0,1,事后主观评级档案；禁止进入实时筛选与生产决策。,
600000.SH,浦发银行,2025-08-22,239,low_value,-0.022493563916305304,-0.09899569583931134,-0.10936728116147731,0.2246376811594201,6,0,5,0.0,-0.01836568886526113,-0.03922058807349876,0,0,1,-0.01741133817646822,-0.0075384519805039,3,subjective/semi-quantitative,0,1,事后主观评级档案；禁止进入实时筛选与生产决策。,
601916.SH,浙商银行,2025-08-21,240,low_value,-0.06068887102137954,-0.1071428571428572,-0.15612486203377474,0.055555555555555323,1,0,1,0.0,-0.06068887102137954,-0.1071428571428572,0,0,1,-0.02427554840855182,-0.0816354019891227,2,subjective/semi-quantitative,0,1,事后主观评级档案；禁止进入实时筛选与生产决策。,
601077.SH,渝农商行,2025-08-20,241,low_value,-0.03874195657391599,-0.05327245053272445,-0.08372990431929417,0.5714285714285721,3,1,2,0.3333333333333333,-0.014437761501149948,-0.05327245053272445,0,0,1,-0.015496782629566398,0.0311929878919491,2,subjective/semi-quantitative,0,1,事后主观评级档案；禁止进入实时筛选与生产决策。,
002352.SZ,顺丰控股,2025-08-07,250,low_value,-0.052900121560035984,-0.11735993208828521,-0.17549113709602593,0.44846292947558725,4,0,3,0.0,-0.022227386405209715,-0.05218421052631589,0,0,1,-0.031626138769312556,0.0049257899235558,2,subjective/semi-quantitative,0,1,事后主观评级档案；禁止进入实时筛选与生产决策。,
600660.SH,福耀玻璃,2025-08-05,252,high_value,0.09470877226316565,-0.013264025811077329,0.09694134561239043,15.324324324324236,2,1,1,0.5,0.04045399914250103,-0.04269274677310514,0,0,0,0.03788350890526626,-0.0644245061528882,2,subjective/semi-quantitative,0,1,事后主观评级档案；禁止进入实时筛选与生产决策。,
601006.SH,大秦铁路,2025-07-22,262,low_value,0.003832793603300244,-0.022900763358778664,-0.04672412097344758,1.800000000000001,4,0,4,0.0,-0.0011482704539033106,-0.040370690162679856,0,0,1,-0.0012680532182287865,-0.0319800062971773,2,subjective/semi-quantitative,0,1,事后主观评级档案；禁止进入实时筛选与生产决策。,
