date,close,label,pos_state,eq_state,benchmark,pos_event,eq_event
2018-10-09,3288.69,watch,0.0,1.0,1.3088526818885764,0.0,1.0
2018-10-10,3281.597,watch,0.0,1.0,1.3060297669672443,0.0,1.0
2018-10-11,3124.113,watch,0.0,1.0,1.2433533347846606,0.0,1.0
2018-10-12,3170.726,watch,0.0,1.0,1.2619046576703303,0.0,1.0
2018-10-15,3126.451,watch,0.0,1.0,1.2442838261262756,0.0,1.0
2018-10-16,3100.973,watch,0.0,1.0,1.2341439380160684,0.0,1.0
2018-10-17,3118.246,watch,0.0,1.0,1.2410183507379309,0.0,1.0
2018-10-18,3044.391,watch,0.0,1.0,1.2116250923825125,0.0,1.0
2018-10-19,3134.945,watch,0.0,1.0,1.24766431947772,0.0,1.0
2018-10-22,3270.273,watch,0.0,1.0,1.3015229731466935,0.0,1.0
2018-10-23,3183.425,watch,0.0,1.0,1.266958682284174,0.0,1.0
2018-10-24,3188.201,watch,0.0,1.0,1.2688594635705523,0.0,1.0
2018-10-25,3194.308,watch,0.0,1.0,1.271289964264839,0.0,1.0
2018-10-26,3173.635,watch,0.0,1.0,1.2630623990359233,0.0,1.0
2018-10-29,3076.888,watch,0.0,1.0,1.2245584444477213,0.0,1.0
2018-10-30,3110.26,watch,0.0,1.0,1.2378400342904812,0.0,1.0
2018-10-31,3153.823,watch,0.0,1.0,1.2551774997801175,0.0,1.0
2018-11-01,3177.033,watch,0.0,1.0,1.2644147555709138,0.0,1.0
2018-11-02,3290.245,watch,0.0,1.0,1.3094715501675371,0.0,1.0
2018-11-05,3262.835,watch,0.0,1.0,1.2985627530444988,0.0,1.0
2018-11-06,3243.15,watch,0.0,1.0,1.2907283980146915,0.0,1.0
2018-11-07,3221.91,watch,0.0,1.0,1.2822751747059231,0.0,1.0
2018-11-08,3212.773,watch,0.0,1.0,1.2786387763362332,0.0,1.0
2018-11-09,3167.444,watch,0.0,1.0,1.260598467514992,0.0,1.0
2018-11-12,3205.14,watch,0.0,1.0,1.2756009489578983,0.0,1.0
2018-11-13,3237.382,watch,0.0,1.0,1.2884328145850787,0.0,1.0
2018-11-14,3204.942,watch,0.0,1.0,1.2755221477236642,0.0,1.0
2018-11-15,3242.371,watch,0.0,1.0,1.290418366896164,0.0,1.0
2018-11-16,3257.673,watch,0.0,1.0,1.2965083491499667,0.0,1.0
2018-11-19,3294.603,watch,0.0,1.0,1.3112059732927548,0.0,1.0
2018-11-20,3218.407,watch,0.0,1.0,1.280881029637627,0.0,1.0
2018-11-21,3226.491,watch,0.0,1.0,1.284098348716162,0.0,1.0
