ts_code,signal_date,entry_date,entry_price,exit_date,exit_price,signal_pos
601288.SH,2024-09-02,2024-09-03,4.324554,2026-08-19,,3.0
601328.SH,2024-09-02,2024-09-03,6.3964659,2026-08-19,,3.0
601336.SH,2024-09-02,2024-09-03,30.41065647,2026-08-19,,3.0
601360.SH,2024-09-02,2024-09-03,6.68352784,2026-08-19,,0.35
601390.SH,2024-09-02,2024-09-03,5.12122186,2026-08-19,,3.0
601398.SH,2024-09-02,2024-09-03,5.46397316,2026-08-19,,3.0
601377.SH,2024-09-02,2024-09-03,4.86793032,2026-08-19,,3.0
601600.SH,2024-09-02,2024-09-03,6.36849,2026-08-19,,1.0
601601.SH,2024-09-02,2024-09-03,27.6968979,2026-08-19,,3.0
601607.SH,2024-09-02,2024-09-03,17.69705245,2026-08-19,,1.0
601628.SH,2024-09-02,2024-09-03,32.88733504,2026-08-19,,3.0
601618.SH,2024-09-02,2024-09-03,2.76488592,2026-08-19,,3.0
601658.SH,2024-09-02,2024-09-03,4.33027914,2026-08-19,,3.0
601669.SH,2024-09-02,2024-09-03,4.40569502,2026-08-19,,3.0
601668.SH,2024-09-02,2024-09-03,4.74825946,2026-08-19,,3.0
601633.SH,2024-09-02,2024-09-03,21.11713354,2026-08-19,,1.0
601689.SH,2024-09-02,2024-09-03,31.31192443,2026-08-19,,1.0
601728.SH,2024-09-02,2024-09-03,5.70694767,2026-08-19,,0.35
601688.SH,2026-08-13,2026-08-14,19.56,2026-08-19,18.9,1.0
601727.SH,2024-09-02,2024-09-03,3.65468934,2026-08-19,,1.0
601825.SH,2024-09-02,2024-09-03,6.03858398,2026-08-19,,3.0
601800.SH,2024-09-02,2024-09-03,7.27827426,2026-08-19,,3.0
601816.SH,2024-09-02,2024-09-03,5.06652328,2026-08-19,,3.0
601766.SH,2024-09-02,2024-09-03,6.46941373,2026-08-19,,0.35
601788.SH,2024-09-02,2024-09-03,14.27012068,2026-08-19,,3.0
601818.SH,2024-09-02,2024-09-03,2.78274317,2026-08-19,,3.0
601838.SH,2024-09-02,2024-09-03,12.63171273,2026-08-19,,3.0
601857.SH,2024-09-02,2024-09-03,8.0466188,2026-08-19,,3.0
601868.SH,2024-09-02,2024-09-03,2.05578252,2026-08-19,,3.0
601878.SH,2024-09-02,2024-09-03,10.46451252,2026-08-19,,3.0
601881.SH,2024-09-02,2024-09-03,10.25336604,2026-08-19,,3.0
601872.SH,2024-09-02,2024-09-03,6.8073875,2026-08-19,,3.0
601877.SH,2024-09-02,2024-09-03,17.79224862,2026-08-19,,0.35
601888.SH,2024-09-02,2024-09-03,57.2101416,2026-08-19,,1.0
601916.SH,2025-08-21,2025-08-22,3.2043487,2026-08-19,,0.35
601898.SH,2024-09-02,2024-09-03,13.29320007,2026-08-19,,3.0
601899.SH,2024-09-02,2024-09-03,14.937908,2026-08-19,,1.0
601901.SH,2025-09-11,2025-09-12,8.43651615,2026-08-19,,0.35
601985.SH,2024-09-02,2024-09-03,10.53284496,2026-08-19,,3.0
601919.SH,2024-09-02,2024-09-03,10.48140908,2026-08-19,,3.0
601939.SH,2024-09-02,2024-09-03,6.86630021,2026-08-19,,3.0
601995.SH,2026-06-15,2026-06-16,33.66,2026-08-19,,0.35
601988.SH,2024-09-02,2024-09-03,4.48785784,2026-08-19,,3.0
601998.SH,2024-09-02,2024-09-03,5.61392216,2026-08-19,,3.0
603259.SH,2025-09-19,2025-09-22,105.97044717,2026-08-19,,3.0
603260.SH,2024-09-02,2024-09-03,50.23864629,2026-08-19,,1.0
603288.SH,2024-09-02,2024-09-03,34.34514696,2026-08-19,,3.0
603369.SH,2024-09-02,2024-09-03,35.89420268,2026-08-19,,3.0
603993.SH,2024-09-02,2024-09-03,6.96587931,2026-08-19,,1.0
688009.SH,2024-09-02,2024-09-03,4.70485092,2026-08-19,,0.35
688041.SH,2024-09-02,2024-09-03,77.71511657,2026-08-19,,0.35
688072.SH,2026-03-02,2026-03-03,391.6899416,2026-08-19,,1.0
688111.SH,2024-09-02,2024-09-03,166.7671236,2026-08-19,,0.35
688256.SH,2024-09-02,2024-09-03,168.9912,2026-08-19,,0.35
688396.SH,2025-01-14,2025-01-15,46.21686214,2026-08-19,,1.0
688271.SH,2025-12-25,2025-12-26,128.61987827,2026-08-19,,1.0
688303.SH,2024-09-02,2024-09-03,17.46,2026-08-19,,0.35
000063.SZ,2024-09-02,2024-09-03,23.35049,2026-08-19,,0.35
000001.SZ,2024-09-02,2024-09-03,9.09476391,2026-08-19,,3.0
000157.SZ,2024-09-02,2024-09-03,5.61721584,2026-08-19,,1.0
000166.SZ,2024-09-02,2024-09-03,4.15139391,2026-08-19,,3.0
000100.SZ,2024-09-02,2024-09-03,3.71544853,2026-08-19,,0.35
000002.SZ,2024-09-02,2024-09-03,6.41,2026-08-19,,3.0
000301.SZ,2024-09-02,2024-09-03,7.73,2026-08-19,,1.0
000333.SZ,2024-09-02,2024-09-03,58.70715048,2026-08-19,84.72,0.35
000538.SZ,2024-09-02,2024-09-03,49.64855112,2026-08-19,,1.0
000408.SZ,2024-09-02,2024-09-03,22.8006717,2026-08-19,,1.0
000338.SZ,2024-09-02,2024-09-03,11.59108224,2026-08-19,,1.0
000596.SZ,2024-09-02,2024-09-03,151.18902018,2026-08-19,,3.0
000425.SZ,2024-09-02,2024-09-03,6.07380675,2026-08-19,,1.0
000568.SZ,2024-09-02,2024-09-03,107.3583813,2026-08-19,,3.0
000625.SZ,2024-09-02,2024-09-03,11.18962124,2026-08-19,,1.0
000617.SZ,2024-09-02,2024-09-03,4.97308672,2026-08-19,,3.0
000708.SZ,2024-09-02,2024-09-03,10.40667998,2026-08-19,,3.0
000725.SZ,2024-09-02,2024-09-03,3.74806864,2026-08-19,,0.35
000657.SZ,2024-09-02,2024-09-03,7.578263,2026-08-19,,1.0
000651.SZ,2024-09-02,2024-09-03,36.58958511,2026-08-19,,0.35
000776.SZ,2024-09-02,2024-09-03,11.4228356,2026-08-19,,3.0
000792.SZ,2025-01-14,2025-01-15,16.53,2026-08-19,,1.0
000768.SZ,2024-09-02,2024-09-03,23.75382784,2026-08-19,,0.35
000938.SZ,2024-09-02,2024-09-03,18.97914312,2026-08-19,,0.35
000895.SZ,2024-09-02,2024-09-03,20.9170112,2026-08-19,,3.0
000858.SZ,2024-09-02,2024-09-03,107.43862012,2026-08-19,,3.0
