sample,label,ret_col,start,end,n,gross_return,net_return,hs300_return,excess_hs300,max_drawdown,avg_turnover,avg_hold,cost_drag,t_vs_hs300,p_vs_hs300,t_vs_unselected,p_vs_unselected,t_vs_uni,p_vs_uni,mean_daily_vs_hs300,mean_daily_vs_unselected,mean_daily_vs_uni,sharpe_net,verdict_style,satellite,core
test,core_80%_sat_20%,net_ret,2021-01-04,2026-08-17,1362,0.027299260071701026,0.015232225312728165,-0.09997118106984582,0.11520340638257398,-0.38318025946096845,0.006669733330350736,25.608663729809106,0.012067034758972861,1.9705740432911585,0.04877261803851288,-4.514948907677646,6.333203270610339e-06,-4.990237219536499,6.030518785106254e-07,8.52659470678754e-05,-0.0005062619982698903,-0.0005085204186630588,0.11639751116385136,策略相对市场基准存在超额，但暂不能区分选股能力与风格暴露。,0.2,0.8
enhance,core_80%_sat_20%,net_ret,2024-09-02,2026-08-17,473,0.4413472263955007,0.43657670055908215,0.4520925350634355,-0.015515834504353343,-0.15125818621195763,0.005393139588899119,37.141649048625794,0.004770525836418571,-0.5107851682778709,0.6095014958298092,-1.9518067280393816,0.05096115520144501,-1.9640968906706469,0.04951885674248359,-1.9269161949131793e-05,-0.00037511933100012627,-0.00034109942013041926,1.0327020694414653,相对沪深300或未入选等权未同时达到显著正超额。,0.2,0.8
full,core_90%_sat_10%,net_ret,2010-07-01,2026-08-17,3918,1.1308629232247465,1.0906168499130593,0.876866525129345,0.21375032478371425,-0.48055989097555996,0.003759775624054336,19.211077080142932,0.04024607331168717,1.8726529427262888,0.061116325412157155,-7.096658911566789,1.2780897053626952e-12,-7.534613366273139,4.897838368549073e-14,2.6471440628964235e-05,-0.0005181296956699461,-0.0005101372216542255,0.3258127912171761,相对沪深300或未入选等权未同时达到显著正超额。,0.1,0.9
train,core_90%_sat_10%,net_ret,2010-07-01,2020-12-31,2556,1.1905713553857638,1.1619333617235803,1.0630015941753053,0.09893176754827504,-0.48055989097555996,0.003986194247682331,15.802034428794991,0.028637993662183447,0.9598017570718066,0.3371549978498097,-5.235278415935728,1.6473635095617034e-07,-5.511976227459585,3.548268551666758e-08,1.7859543987112185e-05,-0.0005017359921901548,-0.00048828118711617615,0.44188353331603464,相对沪深300或未入选等权未同时达到显著正超额。,0.1,0.9
test,core_90%_sat_10%,net_ret,2021-01-04,2026-08-17,1362,-0.03802746558009662,-0.04369438188923369,-0.09997118106984582,0.056276799180612125,-0.4194939288957774,0.003334866665175368,25.608663729809106,0.005666916309137071,1.9705740432911574,0.04877261803851298,-5.020550525530252,5.152359586666199e-07,-5.4297493979601805,5.6433239244658836e-08,4.263297353393769e-05,-0.0005488949718038279,-0.0005511533921969964,0.05510046098272852,策略相对市场基准存在超额，但暂不能区分选股能力与风格暴露。,0.1,0.9
enhance,core_90%_sat_10%,net_ret,2024-09-02,2026-08-17,473,0.4468110917021484,0.4444147010018471,0.4520925350634355,-0.0076778340615883955,-0.15393811875723795,0.0026965697944495593,37.141649048625794,0.0023963907003012874,-0.510785168277873,0.6095014958298076,-1.9805786562053058,0.04763854447384173,-1.9824192258867432,0.04743233955089939,-9.63458097456595e-06,-0.00036548475002556055,-0.0003314648391558533,1.0359010529810795,相对沪深300或未入选等权未同时达到显著正超额。,0.1,0.9
full,core_100%_sat_0%,net_ret,2010-07-01,2026-08-17,3918,0.876866525129345,0.876866525129345,0.876866525129345,0.0,-0.46696138837984813,0.0,19.211077080142932,0.0,,,-7.346279924695385,2.0379934025513084e-13,-7.687096380122246,1.505117537165035e-14,0.0,-0.0005446011362989106,-0.0005366086622831896,0.2921320594067191,相对沪深300或未入选等权未同时达到显著正超额。,0.0,1.0
train,core_100%_sat_0%,net_ret,2010-07-01,2020-12-31,2556,1.0630015941753053,1.0630015941753053,1.0630015941753053,0.0,-0.46696138837984813,0.0,15.802034428794991,0.0,,,-5.33562684226857,9.521503970823284e-08,-5.56023580563027,2.6941039438971085e-08,0.0,-0.0005195955361772671,-0.0005061407311032883,0.4201019275716404,相对沪深300或未入选等权未同时达到显著正超额。,0.0,1.0
test,core_100%_sat_0%,net_ret,2021-01-04,2026-08-17,1362,-0.09997118106984582,-0.09997118106984582,-0.09997118106984582,0.0,-0.45602620484864775,0.0,25.608663729809106,0.0,,,-5.339041034643106,9.34394959088021e-08,-5.624022135081142,1.8656172909152994e-08,0.0,-0.0005915279453377656,-0.0005937863657309342,-0.0046880039219489855,相对沪深300或未入选等权未同时达到显著正超额。,0.0,1.0
enhance,core_100%_sat_0%,net_ret,2024-09-02,2026-08-17,473,0.4520925350634355,0.4520925350634355,0.4520925350634355,0.0,-0.1566354632679593,0.0,37.141649048625794,0.0,,,-1.9797549905118301,0.0477310661673603,-1.9574664783414633,0.05029264922223465,0.0,-0.00035585016905099456,-0.0003218302581812875,1.0371905169531936,相对沪深300或未入选等权未同时达到显著正超额。,0.0,1.0
