,gross_ret,net_ret,cost,turnover,n_hold,n_rest,uni_ew_ret,unselected_ew_ret,held_cc_ret,hs300_ret,hs300_open_to_close,gross_vs_hs300,net_vs_hs300,gross_vs_uni,net_vs_uni,gross_vs_unselected,net_vs_unselected
2012-01-11,-0.009643721645600345,-0.009643721645600345,0.0,0.0,1,186,-0.002122857067277171,-0.0020824916825873565,-0.009630818619582704,-0.004797435919437709,-0.0037422942239249135,-0.004846285726162636,-0.004846285726162636,-0.0075208645783231744,-0.0075208645783231744,-0.007561229963012988,-0.007561229963012988
2012-01-12,0.00974289082068669,0.00974289082068669,0.0,0.0,1,186,-0.001829544894645108,-0.0018916632718082454,0.00972447325769843,-0.00015971371419376545,0.0034609076898985958,0.009902604534880455,0.009902604534880455,0.011572435715331798,0.011572435715331798,0.011634554092494935,0.011634554092494935
2012-01-13,0.0,0.0,0.0,0.0,1,186,-0.02805187269615285,-0.02820268921602464,0.0,-0.016789044435018052,-0.018073699816068434,0.016789044435018052,0.016789044435018052,0.02805187269615285,0.02805187269615285,0.02820268921602464,0.02820268921602464
2012-01-16,-0.008036054631687217,-0.008036054631687217,0.0,0.0,1,186,-0.025174191023265003,-0.025266387307352527,-0.008025682182985494,-0.020333420483524822,-0.013169801842947693,0.012297365851837605,0.012297365851837605,0.017138136391577786,0.017138136391577786,0.01723033267566531,0.01723033267566531
2012-01-17,0.02585075625682931,0.02585075625682931,0.0,0.0,1,187,0.05114974477306902,0.051284823795184155,0.025889967637540368,0.049006479656589885,0.04814897800617479,-0.023155723399760575,-0.023155723399760575,-0.025298988516239712,-0.025298988516239712,-0.025434067538354845,-0.025434067538354845
2012-01-18,-0.012655791468151767,-0.012655791468151767,0.0,0.0,1,187,-0.0200357594042702,-0.020075424981138127,-0.012618296529968487,-0.015610820283337379,-0.01733565389546121,0.002955028815185612,0.002955028815185612,0.007379967936118434,0.007379967936118434,0.00741963351298636,0.00741963351298636
2012-01-19,0.028639709056923923,0.028639709056923923,0.0,0.0,1,187,0.015196261912430384,0.015123760673404747,0.028753993610223905,0.019057554963712642,0.018356280919212598,0.009582154093211281,0.009582154093211281,0.01344344714449354,0.01344344714449354,0.013515948383519176,0.013515948383519176
2012-01-20,0.013932154801720165,0.013932154801720165,0.0,0.0,1,187,0.01617585834964879,0.01618762681526454,0.013975155279503104,0.014477687524054428,0.011045208803543316,-0.0005455327223342632,-0.0005455327223342632,-0.0022437035479286258,-0.0022437035479286258,-0.0022554720135443754,-0.0022554720135443754
2012-01-30,-0.022933438236134585,-0.022933438236134585,0.0,0.0,1,187,-0.010627841365254163,-0.010561835685270466,-0.02297090352220532,-0.017318095305033476,-0.019194643659294686,-0.005615342931101108,-0.005615342931101108,-0.012305596870880422,-0.012305596870880422,-0.012371602550864119,-0.012371602550864119
2012-01-31,0.006262233799873451,0.006262233799873451,0.0,0.0,1,187,0.001013383513752921,0.0009852754444334762,0.006269592476489061,0.0014386033356093009,0.0007805589646912026,0.00482363046426415,0.00482363046426415,0.00524885028612053,0.00524885028612053,0.005276958355439975,0.005276958355439975
