sample,hold_n,n_events,n_complete,mean_ret,median_ret,mean_mfe,median_mfe,mean_mae,median_mae,win_rate,beat_hs300,mean_excess_hs300,median_excess_hs300,t_excess_hs300,p_excess_hs300,mean_excess_unselected,t_excess_unselected,p_excess_unselected,mean_hs300_ret,mean_uni_ew_ret,mean_unselected_ew_ret,mean_excess_mfe,mean_hs300_mfe,mean_hs300_mae,mean_excess_mae,start,end,note
train,20,547,547,0.019156947406599872,0.002270147559591429,0.0949733480515094,0.06161137440758302,-0.06286867163941905,-0.045454545454545414,0.5118829981718465,0.45521023765996343,0.0018245782684469139,-0.008982307848470317,0.43902553335244066,0.6606430352670327,-0.006088761743651652,-1.4975263832485368,0.13425634587703403,0.017332369138152958,0.02510133934346468,0.025245709150251525,0.04172769888551509,0.0532456491659943,-0.037747098681548685,-0.02512157295787036,2010-09-27,2020-12-31,持有期超额 = 个股(exit_close/entry_open-1) − 沪深300(exit_close/entry_open-1)。MFE/MAE 是路径极值，不与持有期超额混用。事件窗口重叠，t 统计量为描述性，不是独立样本。
train,30,547,547,0.029787137130431,0.007070707070707005,0.12409190196674857,0.0795140806184429,-0.07601926964163883,-0.052208835341365445,0.5374771480804388,0.4515539305301645,0.00033244938548889586,-0.008980894181403243,0.06331691305233049,0.9495141481176769,-0.01163298381234816,-2.299864943514817,0.021455872732149925,0.029454687744942108,0.041170357133325404,0.041420120942779165,0.05110097569026174,0.07299092627648684,-0.04521868634274737,-0.030800583298891453,2010-09-27,2020-12-31,持有期超额 = 个股(exit_close/entry_open-1) − 沪深300(exit_close/entry_open-1)。MFE/MAE 是路径极值，不与持有期超额混用。事件窗口重叠，t 统计量为描述性，不是独立样本。
train,40,547,547,0.04149804909203525,0.01848428835489835,0.15320651462102428,0.09591078066914505,-0.08691902440618805,-0.06324786324786325,0.5685557586837294,0.46983546617915906,0.0012639205720870951,-0.009020216756075339,0.20403411428984167,0.8383268402643366,-0.015403390761117564,-2.5519956373074355,0.01071078599267163,0.04023412851994816,0.056567058566993976,0.05690143985315281,0.06363061600145135,0.08957589861957292,-0.05048563628131889,-0.036433388124869154,2010-09-27,2020-12-31,持有期超额 = 个股(exit_close/entry_open-1) − 沪深300(exit_close/entry_open-1)。MFE/MAE 是路径极值，不与持有期超额混用。事件窗口重叠，t 统计量为描述性，不是独立样本。
train,60,547,547,0.0630558489342288,0.02849740932642497,0.2080697859424136,0.13738019169329063,-0.10244548702349811,-0.07710843373493981,0.56672760511883,0.453382084095064,0.0053791651786525676,-0.014555215250365405,0.6815938964630137,0.49549577543313644,-0.021350642639788198,-2.703939151147428,0.006852283590298036,0.05767668375557623,0.08397018335257718,0.08440649157401699,0.08515558314529688,0.12291420279711675,-0.061420992005522854,-0.04102449501797525,2010-09-27,2020-12-31,持有期超额 = 个股(exit_close/entry_open-1) − 沪深300(exit_close/entry_open-1)。MFE/MAE 是路径极值，不与持有期超额混用。事件窗口重叠，t 统计量为描述性，不是独立样本。
test,5,408,408,0.004350081111231144,0.0,0.04106176804344845,0.026592805946180853,-0.030631963674016084,-0.02161611333270408,0.49019607843137253,0.49019607843137253,0.002872393448429543,-0.0008809923788872798,1.130126018232174,0.25842312781921545,0.0005484662555268774,0.2185405954599757,0.8270079320093728,0.0014776876628016,0.003802438031133204,0.003801614855704266,0.025750882722520692,0.015310885320927758,-0.014789281205166331,-0.015842682468849754,2021-01-04,2026-07-02,持有期超额 = 个股(exit_close/entry_open-1) − 沪深300(exit_close/entry_open-1)。MFE/MAE 是路径极值，不与持有期超额混用。事件窗口重叠，t 统计量为描述性，不是独立样本。
test,10,407,407,0.006778989091732829,0.0,0.060182760677598486,0.040000000000000036,-0.043462023656868104,-0.030701754385965008,0.49385749385749383,0.48157248157248156,0.008310237668609463,-0.0023831194447351267,2.010134784611469,0.044416925396006404,0.004136705349806286,1.0162960028095762,0.30948845148986237,-0.001531248576876634,0.0026833997839664178,0.0026422837419265424,0.038777767769053444,0.02140499290854505,-0.022577823487435873,-0.02088420016943223,2021-01-04,2026-07-02,持有期超额 = 个股(exit_close/entry_open-1) − 沪深300(exit_close/entry_open-1)。MFE/MAE 是路径极值，不与持有期超额混用。事件窗口重叠，t 统计量为描述性，不是独立样本。
test,15,408,408,0.01212475741238675,0.004439929602023884,0.07755721044623026,0.05150022492127759,-0.05223287904007306,-0.037964576529599,0.5269607843137255,0.5245098039215687,0.013448437266657447,0.007664410499074015,2.78702642272859,0.005319414150131245,0.005521489338395786,1.1624863494927655,0.2450379663241695,-0.0013236798542706964,0.006665772239359905,0.006603268073990963,0.050920038371016774,0.02663717207521349,-0.028261210959292096,-0.023971668080780963,2021-01-04,2026-07-02,持有期超额 = 个股(exit_close/entry_open-1) − 沪深300(exit_close/entry_open-1)。MFE/MAE 是路径极值，不与持有期超额混用。事件窗口重叠，t 统计量为描述性，不是独立样本。
test,20,408,408,0.01271992314505467,0.00489568539886176,0.0890546801517373,0.05857052119145156,-0.06001545204959874,-0.04548225620665153,0.5245098039215687,0.5269607843137255,0.01644088423392354,0.0043591623196963525,3.2389675156851854,0.0011996323560504601,0.0047145609804868935,0.9434816079919559,0.34543461838470807,-0.0037209610888688694,0.008069588364246446,0.008005362164567775,0.058887003531270854,0.03016767662046644,-0.03295817828813214,-0.0270572737614666,2021-01-04,2026-07-02,持有期超额 = 个股(exit_close/entry_open-1) − 沪深300(exit_close/entry_open-1)。MFE/MAE 是路径极值，不与持有期超额混用。事件窗口重叠，t 统计量为描述性，不是独立样本。
test,30,408,408,0.008918837650520452,-0.0006916337965919839,0.10894289414193327,0.06743083876606293,-0.07615424185341019,-0.05488611614321476,0.49264705882352944,0.5147058823529411,0.01920512253003336,0.00515378707084202,2.9513770776486847,0.003163604397555109,0.001580805253577895,0.24582062759967377,0.8058210884146346,-0.010286284879512905,0.007390474327474817,0.007338032396942559,0.07358353478196561,0.03535935935996766,-0.0429095099059509,-0.033244731947459284,2021-01-04,2026-07-02,持有期超额 = 个股(exit_close/entry_open-1) − 沪深300(exit_close/entry_open-1)。MFE/MAE 是路径极值，不与持有期超额混用。事件窗口重叠，t 统计量为描述性，不是独立样本。
test,40,407,407,0.010887057376838273,-0.0020764119601328623,0.1250455378229028,0.07711442786069655,-0.08712534700013172,-0.06879606879606892,0.49385749385749383,0.542997542997543,0.025733238391684125,0.009208035049308672,3.5641215176210186,0.000365076807603648,0.003746417096302372,0.5305447094784101,0.5957343189312305,-0.014846181014845854,0.007194058844387202,0.0071406402805358985,0.08713934523210036,0.03790619259080243,-0.05246388128520669,-0.03466146571492503,2021-01-04,2026-06-16,持有期超额 = 个股(exit_close/entry_open-1) − 沪深300(exit_close/entry_open-1)。MFE/MAE 是路径极值，不与持有期超额混用。事件窗口重叠，t 统计量为描述性，不是独立样本。
test,60,401,401,0.02383354002095456,-0.0043968825869175054,0.1681422231386395,0.10593900481540919,-0.10317428705208807,-0.08520260160319648,0.486284289276808,0.5361596009975063,0.03440808736226918,0.015274878299343264,3.8701914982988086,0.00010874989549883684,0.0030283862139978066,0.35408421102049903,0.7232757743526562,-0.01057454734131461,0.020900189825180535,0.020805153806956755,0.11305141016351596,0.05509081297512355,-0.06863048473263955,-0.03454380231944855,2021-01-04,2026-05-19,持有期超额 = 个股(exit_close/entry_open-1) − 沪深300(exit_close/entry_open-1)。MFE/MAE 是路径极值，不与持有期超额混用。事件窗口重叠，t 统计量为描述性，不是独立样本。
