sample,hold_n,n_events,n_complete,mean_ret,median_ret,mean_mfe,median_mfe,mean_mae,median_mae,win_rate,beat_hs300,mean_excess_hs300,median_excess_hs300,t_excess_hs300,p_excess_hs300,mean_excess_unselected,t_excess_unselected,p_excess_unselected,mean_hs300_ret,mean_uni_ew_ret,mean_unselected_ew_ret,mean_excess_mfe,mean_hs300_mfe,mean_hs300_mae,mean_excess_mae,start,end,note
wf_train_to_2019,20,456,456,0.018720952887252642,0.0027065515471141888,0.09216339282492392,0.06141793210175073,-0.06072295759228639,-0.044646883926313385,0.5175438596491229,0.45614035087719296,0.0007234444875874869,-0.006038524178210991,0.16685804697707401,0.867481743950813,-0.006928809335727401,-1.6351682677345127,0.10201377824987602,0.01799750839966515,0.025500931340487882,0.02564976222298004,0.03754446311794898,0.05461892970697494,-0.03800865885625634,-0.02271429873603006,2010-09-27,2019-12-31,持有期超额 = 个股(exit_close/entry_open-1) − 沪深300(exit_close/entry_open-1)。MFE/MAE 是路径极值，不与持有期超额混用。事件窗口重叠，t 统计量为描述性，不是独立样本。
wf_test_2020,20,91,91,0.02134171115190029,-0.002043596730245234,0.1090540028133003,0.0668243642814903,-0.0736208211503255,-0.055396825396825444,0.4835164835164835,0.45054945054945056,0.007342347543962287,-0.02047210379349995,0.5931486384691707,0.5530816821600284,-0.0018792924910522972,-0.15461236544059093,0.8771269210171789,0.013999363607938008,0.023098988237502286,0.02322100364295259,0.06268984734716504,0.04636415546613526,-0.036436423520376286,-0.03718439762994922,2020-01-09,2020-12-31,持有期超额 = 个股(exit_close/entry_open-1) − 沪深300(exit_close/entry_open-1)。MFE/MAE 是路径极值，不与持有期超额混用。事件窗口重叠，t 统计量为描述性，不是独立样本。
wf_train_to_2020,20,547,547,0.019156947406599872,0.002270147559591429,0.0949733480515094,0.06161137440758302,-0.06286867163941905,-0.045454545454545414,0.5118829981718465,0.45521023765996343,0.0018245782684469139,-0.008982307848470317,0.43902553335244066,0.6606430352670327,-0.006088761743651652,-1.4975263832485368,0.13425634587703403,0.017332369138152958,0.02510133934346468,0.025245709150251525,0.04172769888551509,0.0532456491659943,-0.037747098681548685,-0.02512157295787036,2010-09-27,2020-12-31,持有期超额 = 个股(exit_close/entry_open-1) − 沪深300(exit_close/entry_open-1)。MFE/MAE 是路径极值，不与持有期超额混用。事件窗口重叠，t 统计量为描述性，不是独立样本。
wf_test_2021,20,52,52,0.015559628039093314,0.0020661157024792765,0.11017604727234592,0.06426638800150941,-0.07492688465980987,-0.049003914745541555,0.5,0.5192307692307693,0.027377652438273947,0.0008022585241271307,1.30434997443208,0.19211428341978942,0.00811105687922595,0.39816013448669124,0.6905121498514382,-0.011818024399180631,0.007503334105819276,0.007448571159867362,0.07721492474389662,0.0329611225284493,-0.04517729307903896,-0.0297495915807709,2021-01-04,2021-12-30,持有期超额 = 个股(exit_close/entry_open-1) − 沪深300(exit_close/entry_open-1)。MFE/MAE 是路径极值，不与持有期超额混用。事件窗口重叠，t 统计量为描述性，不是独立样本。
wf_train_to_2021,20,599,599,0.018844659247818002,0.002270147559591429,0.09629311492877733,0.06193078324225865,-0.06391546141748303,-0.04558404558404561,0.5108514190317195,0.4607679465776294,0.004042875191370129,-0.007858409097547758,0.9596165985142147,0.33724821207308914,-0.004856056287241577,-1.1818501691039855,0.23726515721194907,0.01480178405644787,0.023573632711816003,0.02370071553505958,0.04480839295001566,0.05148472197876168,-0.038392123904703104,-0.02552333751277992,2010-09-27,2021-12-30,持有期超额 = 个股(exit_close/entry_open-1) − 沪深300(exit_close/entry_open-1)。MFE/MAE 是路径极值，不与持有期超额混用。事件窗口重叠，t 统计量为描述性，不是独立样本。
wf_test_2022,20,33,33,-0.005388057502786925,-0.006302521008403339,0.06743127136799347,0.05045196552449016,-0.06505867139612334,-0.06446540880503138,0.45454545454545453,0.696969696969697,0.03302894733100301,0.03898534275078713,3.3525944870852418,0.0008005790950804682,0.01866925228382852,2.0374329401293956,0.041606675705712144,-0.03841700483378994,-0.02392299727105223,-0.024057309786615445,0.04879775500803457,0.018633516359958892,-0.05660500392953751,-0.008453667466585806,2022-01-11,2022-12-27,持有期超额 = 个股(exit_close/entry_open-1) − 沪深300(exit_close/entry_open-1)。MFE/MAE 是路径极值，不与持有期超额混用。事件窗口重叠，t 统计量为描述性，不是独立样本。
wf_train_to_2022,20,632,632,0.017579343341536418,0.001755315846205141,0.09478608828715412,0.061136664708828725,-0.0639751543435829,-0.0464039621016365,0.5079113924050633,0.47310126582278483,0.0055563884518256435,-0.004736575878762417,1.3777015291843717,0.1682954590408779,-0.0036276778333724103,-0.923515780770841,0.35573848040681527,0.012022954889710771,0.021093587158913074,0.021207021174908823,0.04501669824734893,0.049769390039805204,-0.0393431128933416,-0.024632041450241306,2010-09-27,2022-12-27,持有期超额 = 个股(exit_close/entry_open-1) − 沪深300(exit_close/entry_open-1)。MFE/MAE 是路径极值，不与持有期超额混用。事件窗口重叠，t 统计量为描述性，不是独立样本。
wf_test_2023,20,71,71,0.0263029324642652,0.013071895424836777,0.10400611168189003,0.06021897810218979,-0.05875199523651399,-0.046511627906976716,0.5211267605633803,0.5492957746478874,0.03361233569372663,0.009370348976238008,2.26380449763718,0.02358614178152481,0.01092029495309428,0.7524615949859454,0.4517735171663335,-0.007309403229461427,0.015480213842690323,0.015382637511170916,0.07828126554741582,0.025724846134474233,-0.03224893049816527,-0.02650306473834873,2023-01-11,2023-11-27,持有期超额 = 个股(exit_close/entry_open-1) − 沪深300(exit_close/entry_open-1)。MFE/MAE 是路径极值，不与持有期超额混用。事件窗口重叠，t 统计量为描述性，不是独立样本。
wf_train_to_2023,20,703,703,0.018460388615666918,0.002270147559591429,0.09571727130426116,0.060975609756097615,-0.06344763756321037,-0.046511627906976716,0.5092460881934566,0.48079658605974396,0.008389919396598004,-0.0030089831722206473,2.1333824744365,0.032893363538682295,-0.002158394664326699,-0.5645446068919906,0.5723835514337172,0.010070469219068913,0.020526660408625993,0.020618783279993613,0.04837627759059892,0.047340993713662245,-0.038626630745322375,-0.024821006817888003,2010-09-27,2023-11-27,持有期超额 = 个股(exit_close/entry_open-1) − 沪深300(exit_close/entry_open-1)。MFE/MAE 是路径极值，不与持有期超额混用。事件窗口重叠，t 统计量为描述性，不是独立样本。
wf_test_2024,20,78,78,-0.003873640185357621,-0.005692574151643703,0.06135784167116718,0.053421228304405766,-0.05476095870515794,-0.04109236193790633,0.47435897435897434,0.5384615384615384,0.012759222507160895,0.008748829103089328,1.7153855387980328,0.08627456496945059,0.006639714881733891,0.869989322898976,0.3843062391512782,-0.01663286269251852,-0.010319631917124825,-0.010513355067091513,0.03994264530007791,0.02141519637108928,-0.03538537854799959,-0.01937558015715834,2024-03-04,2024-12-25,持有期超额 = 个股(exit_close/entry_open-1) − 沪深300(exit_close/entry_open-1)。MFE/MAE 是路径极值，不与持有期超额混用。事件窗口重叠，t 统计量为描述性，不是独立样本。
wf_train_to_2024,20,781,781,0.016229845406345644,0.001704303365999138,0.09228572775575754,0.05989327336187422,-0.06258008192821922,-0.04571428571428571,0.5057618437900128,0.48655569782330343,0.008826290257832199,-0.0022724089159535943,2.4407633101491806,0.014656257115024869,-0.001279710228228457,-0.3630500064074153,0.7165675293493312,0.0074035551485134455,0.017445980765337182,0.017509555634574105,0.047533994212032166,0.044751733543725386,-0.03830292053867554,-0.024277161389543684,2010-09-27,2024-12-25,持有期超额 = 个股(exit_close/entry_open-1) − 沪深300(exit_close/entry_open-1)。MFE/MAE 是路径极值，不与持有期超额混用。事件窗口重叠，t 统计量为描述性，不是独立样本。
wf_test_2025,20,137,137,0.02070317656192317,0.01818870784388027,0.08888436783906774,0.06099290780141842,-0.051055890743003624,-0.038211382113821135,0.635036496350365,0.5109489051094891,0.00339738561965938,0.002158161441248918,0.47944707637430095,0.6316206098600632,-0.006621341405237728,-0.9201606494188693,0.3574888144477618,0.017305790942263793,0.027303459909795637,0.027324517967160903,0.04905505027554327,0.03982931756352446,-0.021216638762350002,-0.02983925198065362,2025-01-07,2025-12-30,持有期超额 = 个股(exit_close/entry_open-1) − 沪深300(exit_close/entry_open-1)。MFE/MAE 是路径极值，不与持有期超额混用。事件窗口重叠，t 统计量为描述性，不是独立样本。
wf_train_to_2025,20,918,918,0.0168974340428534,0.004598892037044888,0.09177811739782017,0.059897736925435874,-0.060860240760055244,-0.04534362726293406,0.5250544662309368,0.49019607843137253,0.00801609424973887,-0.0021280768342757383,2.4646061168674245,0.01371639409731677,-0.0020768817655381208,-0.6521744646648839,0.5142886309031983,0.008881339793114533,0.01891708604070843,0.018974315808391522,0.0477609927748873,0.04401712462293288,-0.03575300702739385,-0.025107233732661393,2010-09-27,2025-12-30,持有期超额 = 个股(exit_close/entry_open-1) − 沪深300(exit_close/entry_open-1)。MFE/MAE 是路径极值，不与持有期超额混用。事件窗口重叠，t 统计量为描述性，不是独立样本。
wf_test_2026,20,37,37,0.00423606549332464,-0.02048857368006307,0.10898430040231175,0.06607304687031368,-0.08123694068291332,-0.056326530612244796,0.32432432432432434,0.3783783783783784,0.009382447541107668,-0.0252948324963278,0.4489690866187185,0.6534539570333902,0.01350177478446467,0.6554105829710456,0.5122034395579744,-0.005146382047783027,-0.009271900321151544,-0.009265709291140033,0.0812529017240194,0.02773139867829233,-0.03441457484371609,-0.04682236583919725,2026-01-06,2026-07-02,持有期超额 = 个股(exit_close/entry_open-1) − 沪深300(exit_close/entry_open-1)。MFE/MAE 是路径极值，不与持有期超额混用。事件窗口重叠，t 统计量为描述性，不是独立样本。
